surgery,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux_ph,rectal_exam_feces,abdomen,total_protein,outcome,surgical_lesion,rectal_temp_bin,pulse_bin,extremeties,mucous,packedCell,proteinLevel,death
2.0,2.0,5.0,4.0,4.0,,,3.0,5.0,8.4,2.0,2,1,1,1,,1,1,1
1.0,1.0,3.0,4.0,2.0,,,4.0,2.0,85.0,3.0,2,1,1,,1,1,1,1
2.0,1.0,3.0,3.0,1.0,,,1.0,1.0,6.7,1.0,2,0,0,0,1,1,0,0
2.0,2.0,,,,,,,,7.4,2.0,2,0,1,,1,1,0,1
2.0,1.0,2.0,3.0,2.0,2.0,,3.0,3.0,,1.0,2,,,0,1,,,0
1.0,1.0,3.0,3.0,3.0,1.0,,3.0,5.0,7.0,1.0,1,0,1,0,0,1,0,0
1.0,1.0,,4.0,2.0,2.0,,3.0,4.0,8.3,2.0,1,,1,1,,1,1,1
2.0,1.0,4.0,4.0,4.0,2.0,,3.0,5.0,6.2,3.0,1,,1,1,1,1,0,1
1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,6.0,1.0,1,0,1,1,1,1,0,0
2.0,1.0,2.0,1.0,2.0,1.0,,4.0,4.0,7.8,1.0,1,1,1,0,0,1,1,0
1.0,1.0,3.0,3.0,3.0,3.0,,4.0,5.0,7.0,1.0,2,0,0,0,0,,0,0
1.0,1.0,3.0,4.0,1.0,2.0,,4.0,4.0,81.0,1.0,1,0,1,1,0,1,1,0
1.0,1.0,5.0,3.0,3.0,2.0,4.5,4.0,,6.8,2.0,1,0,1,1,1,1,0,1
2.0,,,,,,,,,,1.0,2,0,1,,,,,0
1.0,1.0,2.0,3.0,1.0,1.0,,2.0,5.0,7.0,1.0,1,0,1,0,0,1,0,0
2.0,,,3.0,3.0,,,,,8.7,1.0,2,1,1,1,1,1,1,0
1.0,2.0,5.0,4.0,4.0,3.0,,4.0,4.0,6.1,1.0,1,1,1,0,1,1,0,0
2.0,1.0,1.0,3.0,1.0,2.0,5.5,4.0,3.0,6.8,1.0,2,1,1,0,0,1,0,0
1.0,,2.0,3.0,1.0,,,1.0,,7.2,1.0,1,1,0,0,1,1,0,0
1.0,1.0,,4.0,3.0,3.0,2.0,,,65.0,1.0,1,0,1,1,1,1,1,0
2.0,1.0,,,,,,,,,1.0,2,0,1,,,,,0
1.0,2.0,3.0,3.0,3.0,2.0,,3.0,5.0,7.0,1.0,1,0,1,1,1,1,0,0
1.0,1.0,,3.0,2.0,1.0,,1.0,3.0,5.5,1.0,2,0,1,1,0,1,0,0
1.0,,,,,,,,,,2.0,2,,,,,,,1
2.0,1.0,1.0,1.0,1.0,1.0,,,,76.0,1.0,2,0,1,0,0,1,1,0
2.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,7.5,2.0,1,0,1,1,1,1,0,1
2.0,2.0,2.0,4.0,2.0,,6.0,3.0,3.0,8.2,3.0,1,0,1,1,1,1,1,1
1.0,1.0,3.0,3.0,3.0,2.0,,4.0,5.0,6.6,1.0,1,0,1,0,0,1,0,0
1.0,1.0,3.0,1.0,,,,4.0,4.0,8.6,1.0,1,0,1,0,0,1,1,0
1.0,2.0,5.0,4.0,4.0,3.0,,4.0,4.0,6.6,1.0,1,,1,1,1,1,0,0
2.0,2.0,4.0,4.0,3.0,,,,2.0,8.4,3.0,1,,1,1,1,1,1,1
2.0,2.0,,,1.0,1.0,,,5.0,6.0,3.0,2,0,1,,1,1,0,1
1.0,1.0,5.0,3.0,1.0,,,1.0,1.0,80.0,1.0,1,0,1,,,1,1,0
2.0,1.0,3.0,3.0,2.0,1.0,,1.0,3.0,6.6,1.0,2,1,1,0,0,1,0,0
1.0,2.0,5.0,3.0,3.0,1.0,,4.0,5.0,6.5,2.0,1,,1,1,1,1,0,1
2.0,1.0,3.0,3.0,1.0,1.0,,2.0,2.0,7.0,1.0,2,0,1,1,1,1,0,0
1.0,1.0,4.0,4.0,4.0,1.0,,,5.0,67.0,3.0,1,,1,1,1,1,1,1
1.0,2.0,4.0,4.0,,2.0,,,5.0,69.0,3.0,1,0,1,1,1,1,1,1
2.0,2.0,5.0,4.0,4.0,1.0,,4.0,5.0,6.5,2.0,1,,1,1,1,1,0,1
1.0,2.0,5.0,4.0,4.0,2.0,,4.0,5.0,7.5,1.0,1,0,1,1,1,1,0,0
2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,6.5,1.0,2,0,1,0,0,1,0,0
1.0,2.0,2.0,3.0,3.0,2.0,7.0,3.0,1.0,6.5,2.0,1,1,1,1,1,1,0,1
2.0,2.0,4.0,1.0,2.0,1.0,,2.0,1.0,5.5,2.0,2,0,1,1,1,1,0,1
2.0,1.0,1.0,3.0,2.0,1.0,,,2.0,9.1,1.0,2,1,1,0,0,1,1,0
